REFRIGERANT,T_1_K,T_3_K,P_1,P_3,S_1,H_1,S_3,H_3,P_4,P_2,S_4,H_2_ISENTROPIC,H_4_ISENTROPIC,T_1,T_3
R134a,275.15,332.15,314619.437547,1642345.36778,1009.75939346,202.69240345,1702.97617518,426.35561016,314619.437547,1642345.36778,1702.97617518,203.721734412,393.43100094,2.0,59.0
R134a,275.15,333.15,314619.437547,1681784.2183,1009.75939346,202.69240345,1702.42422936,426.629637212,314619.437547,1681784.2183,1702.42422936,203.752267403,393.279133049,2.0,60.0
R134a,275.15,334.15,314619.437547,1721933.47158,1009.75939346,202.69240345,1701.8529025,426.892174183,314619.437547,1721933.47158,1701.8529025,203.783347899,393.121932463,2.0,61.0
R134a,275.15,335.15,314619.437547,1762802.37128,1009.75939346,202.69240345,1701.26094923,427.142755843,314619.437547,1762802.37128,1701.26094923,203.814982925,392.959056522,2.0,62.0
R134a,275.15,336.15,314619.437547,1804400.3158,1009.75939346,202.69240345,1700.64704954,427.380886849,314619.437547,1804400.3158,1700.64704954,203.847179622,392.790142022,2.0,63.0
R134a,275.15,337.15,314619.437547,1846736.86731,1009.75939346,202.69240345,1700.00980155,427.606038946,314619.437547,1846736.86731,1700.00980155,203.879945252,392.614803236,2.0,64.0
R134a,275.15,338.15,314619.437547,1889821.76158,1009.75939346,202.69240345,1699.3477134,427.817647824,314619.437547,1889821.76158,1699.3477134,203.913287206,392.432629683,2.0,65.0
R134a,275.15,339.15,314619.437547,1933664.91861,1009.75939346,202.69240345,1698.65919419,428.015109575,314619.437547,1933664.91861,1698.65919419,203.947213014,392.243183621,2.0,66.0
R134a,275.15,340.15,314619.437547,1978276.4538,1009.75939346,202.69240345,1697.94254369,428.19777672,314619.437547,1978276.4538,1697.94254369,203.981730351,392.045997236,2.0,67.0
R134a,275.15,341.15,314619.437547,2023666.69142,1009.75939346,202.69240345,1697.1959405,428.36495363,314619.437547,2023666.69142,1697.1959405,204.016847051,391.840569369,2.0,68.0
R134a,275.15,342.15,314619.437547,2069846.17744,1009.75939346,202.69240345,1696.41742895,428.515891415,314619.437547,2069846.17744,1696.41742895,204.052571111,391.626361917,2.0,69.0
R134a,275.15,343.15,314619.437547,2116825.69503,1009.75939346,202.69240345,1695.60490376,428.649782016,314619.437547,2116825.69503,1695.60490376,204.088910707,391.402795611,2.0,70.0
R134a,276.15,274.15,325984.931468,303560.704599,1014.62628959,204.042797357,1726.5367642,399.185908656,325984.931468,303560.704599,1726.5367642,204.015652041,400.63704561,3.0,1.0
R134a,276.15,275.15,325984.931468,314619.437547,1014.62628959,204.042797357,1726.00025542,399.766076619,325984.931468,314619.437547,1726.00025542,204.031529921,400.488759712,3.0,2.0
R134a,276.15,276.15,325984.931468,325984.931468,1014.62628959,204.042797357,1725.47584192,400.343901233,325984.931468,325984.931468,1725.47584192,204.042797357,400.343901233,3.0,3.0
R134a,276.15,277.15,325984.931468,337662.77759,1014.62628959,204.042797357,1724.96313504,400.919325263,325984.931468,337662.77759,1724.96313504,204.051886484,400.202317227,3.0,4.0
R134a,276.15,278.15,325984.931468,349658.607861,1014.62628959,204.042797357,1724.46174837,401.492290469,325984.931468,349658.607861,1724.46174837,204.061222872,400.0638593,3.0,5.0
R134a,276.15,279.15,325984.931468,361978.094755,1014.62628959,204.042797357,1723.97129758,402.062737549,325984.931468,361978.094755,1723.97129758,204.070810918,399.928421314,3.0,6.0
R134a,276.15,280.15,325984.931468,374626.951095,1014.62628959,204.042797357,1723.49140009,402.630606086,325984.931468,374626.951095,1723.49140009,204.080655048,399.795897623,3.0,7.0
R134a,276.15,281.15,325984.931468,387610.929908,1014.62628959,204.042797357,1723.0216749,403.195834483,325984.931468,387610.929908,1723.0216749,204.090759718,399.666183011,3.0,8.0
R134a,276.15,282.15,325984.931468,400935.824299,1014.62628959,204.042797357,1722.56174228,403.758359904,325984.931468,400935.824299,1722.56174228,204.101129416,399.539172619,3.0,9.0
